ООО "Агро-Эксим"; Агро Эксим
ООО "Алсу"; Алсу
ЗАО "РеалКапс"; РеалКапс
ООО "Экотекс"; Экотекс
PHARMATIS/Фарматис; Фарматис
Labomar S.r.L; Labomar S r L
ООО "ВИС"/ ООО "Риа-Панда"; ВИС  Риа Панда
Ab-Biotics S.A.; Ab Biotics S A
Promed Exports, Pvt.Ltd./ Промед Экспортс; Промед Экспортс
ООО "БиоЗдраВит"; БиоЗдраВит
ООО "Биокор"; Биокор
Farmaceutici Procemsa S.p.а./Фармацевтичи Прочемса С.п.а.; а Фармацевтичи Прочемса С п а
ООО "АртЛайф"; АртЛайф
Recordati Industria Chimica e Farmaceutica, S.p.A./ Рекордати химическая и фармацевтическая индустрия С.п.А.; Рекордати химическая и фармацевтическая индустрия С п А
ООО "ДАВ Фарм"; ДАВ Фарм
ОАО Мастер Фарм С.А.; Мастер Фарм С А
ООО "Фармасинтез-Тюмень"; Фармасинтез Тюмень
C.P.M. Contract Pharma GMBH & Co./Ц.П.М. Контракт Фарма ГмбХ; Ц П М Контракт Фарма ГмбХ
Фармфабрика ООО; Фармфабрика
Novartis Consumer Health SA/ Новартис Консьюмер; Новартис Консьюмер
Генсента Илач Санаи ве Тиджарет А.Ш.; Генсента Илач Санаи ве Тиджарет А Ш
ООО "Витамер"; Витамер
ЗАО "ЭКОлаб"; ЭКОлаб
GlaxoSmithKline/ ГлаксоСмитКляйн; ГлаксоСмитКляйн
С.К.Терапия С.А.; С К Терапия С А
ООО "БиоФармКомбинат"; БиоФармКомбинат
Wasserburger Arzneimittelwerk GmbH|/ Вассербургер Арцнеймиттельверк ГмбХ; Вассербургер Арцнеймиттельверк ГмбХ
ООО НПК "БИК"; НПК БИК
ООО "Сэлвим"; Сэлвим
ООО "Багира"; Багира
ООО "Фитосила"; Фитосила
ООО "Фармапол-Волга"; Фармапол Волга
АО "Рафарма"; Рафарма
Shering-Plough/ Шеринг Плау; Шеринг Плау
ЗАО "Мелиген ФП"; Мелиген
ООО "Анжеро-Судженский ХФЗ"; Анжеро Судженский ХФЗ
ОАО "Тверская ФФ"; Тверская ФФ
Alifarm SA; Alifarm SA
Sophartex/Софартекс; Софартекс
ООО "Лэнс Фарм"; Лэнс Фарм
Делфарм Унинж САС; Делфарм Унинж САС
Hisunit Ltd/ Хисунит; Хисунит
Эспарма ГмбХ/Esparma GmbH; Эспарма ГмбХ
ООО "Фармаклон НПП"; Фармаклон НПП
Edmond Pharma Srl./ Эдмонд Фарма Срл.; Эдмонд Фарма Срл
ООО "ЭСКО-Фарм"; ЭСКО Фарм
ЗАО "Фирн М"; Фирн М
Klosterfrau/ Клостерфрау; Клостерфрау
ООО "Здоровье ФК"; Здоровье ФК
ОАО "Новосибхимфарм"; Новосибхимфарм
ООО "Самсон-Мед"; Самсон Мед
Grunenthal/ Грюненталь; Грюненталь
ООО "КОК РОШ ЛАБ"; КОК РОШ ЛАБ
Adipharm EAD/ Адифарм; Адифарм
Mustafa Nevzat Illac/ Мустафа Невзат; Мустафа Невзат
Mipharm S.p.A/ Мифарм С.п.А.; Мифарм С п А
ОАО "Фармстандарт-Уфимский витаминный завод"; Фармстандарт Уфимский витаминный завод
