КРКА-Рус ООО; КРКА Рус
Эллара МЦ ООО; Эллара МЦ
Березовский фармзавод ЗАО; Березовский фармзавод
Оболенское ФП АО/пр.ФармВИЛАР НПО ООО; ['Оболенское', 'ФармВИЛАР']
Фармацевтический завод Тева Прайвэт Ко.Лтд; Фармацевтический завод Тева Прайвэт Ко Лтд
Санофи-Авентис Дойчланд ГмбХ/пр.Делфарм Дижон; ['Санофи-Авентис Дойчланд ГмбХ', 'Делфарм Дижон']
Отисифарм ПАО/пр.Минскинтеркапс УП; ['Отисифарм', 'Минскинтеркапс УП']
Фармстандарт-Томскхимфарм ОАО; Фармстандарт Томскхимфарм
Берлин-Хеми/Менарини Фарма ГмбХ/пр.Менарини-Фон Хейден ГмбХ/уп.Берлин-Хеми АГ; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'Менарини-Фон Хейден ГмбХ', '.Берлин-Хеми АГ']
Симпекс Фарма Пвт.Лтд; Симпекс Фарма Пвт Лтд
Рекордати Индастри Кимика & Фармасьютика; Рекордати Индастри Кимика Фармасьютика
Виал ООО/пр.Протекх Биосистемс Пвт.Лтд; ['Виал', 'Протекх Биосистемс Пвт.Лтд']
ФГУП НПЦ Фармзащита ФМБА России; ФГУП НПЦ Фармзащита ФМБА России
Астеллас Фарма Юроп Б.В./пр.Фарматис; ['Астеллас Фарма Юроп Б.В.', 'Фарматис']
Санофи-Авентис Франс/Фарматис; ['Санофи-Авентис Франс', 'Фарматис']
Валента Фармацевтика АО/Валента Фарм АО; ['Валента Фармацевтика', 'Валента Фарм']
Кадила Фармасьютикалз Лимитед; Кадила Фармасьютикалз Лимитед
Такеда Фармасьютикалс ООО; Такеда Фармасьютикалс
Домпе Фармачеутичи С.п.А; Домпе Фармачеутичи С п А
Эбботт Лэбораториз ГмбХ/пр.Верофарм АО; ['Эбботт Лэбораториз ГмбХ', 'Верофарм']
Пфайзер ГмбХ/пр.Р-Фарм Германия ГмбХ; ['Пфайзер ГмбХ', 'Р-Фарм Германия ГмбХ']
Усолье-Сибирский ХФЗ АО; Усолье Сибирский ХФЗ
Фармак ОАО; Фармак
Мелиген ФП ЗАО; Мелиген
Тева Фармацевтические Предприятия Лтд/пр.Фармацевтический завод Тева Прайвэт Ко.Лтд; ['Тева Фармацевтические Предприятия Лтд', 'Фармацевтический завод Тева Прайвэт Ко.Лтд']
К.О.Ромфарм Компани С.р.Л.; К О Ромфарм Компани С р Л
Альтфарм ООО; Альтфарм
Майлан Лэбораториз САС; Майлан Лэбораториз САС
Протекх Биосистемс Пвт.Лтд; Протекх Биосистемс Пвт Лтд
Др. Р.Пфлегер Хим. фабрика ГмбХ; Др Р Пфлегер Хим фабрика ГмбХ
ЛЕККО ФармФирма ЗАО; ЛЕККО ФармФирма
Санека Фармасьютикалс а.с.; Санека Фармасьютикалс а с
Вокхардт Лтд; Вокхардт Лтд
Юникем Лабораториз Лимитед; Юникем Лабораториз Лимитед
Лекфарм СООО; Лекфарм С
Аромасинтез ООО; Аромасинтез
Рекитт Бенкизер Хелскэр Великобритания Лтд; Рекитт Бенкизер Хелскэр Великобритания Лтд
Славянская Аптека ООО; Славянская Аптека
Мерц Фарма ГмбХ и Ко.КГаА/пр.Клоке Фарма-Сервис ГмбХ; ['Мерц Фарма ГмбХ и Ко.КГаА', 'Клоке Фарма-Сервис ГмбХ']
