group;name_item;href_name;price;street;region;seller
['1-komnatnye'];1-к. квартира, 38,5 м², 14/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1416et._3027002192;3927000.0;ул. Минусинская, уч. 8г, стр. 1;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 46,7 м², 7/19 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_467m_719et._2508985387;5500000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 37,8 м², 15/19 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_378m_1519et._2445529155;4100000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;Бруклин Жилой Квартал
['1-komnatnye'];1-к. квартира, 41,1 м², 9/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_411m_917et._2509117933;5000000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 33,8 м², 3/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_338m_34et._2664832566;3204240.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 39,2 м², 3/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_392m_34et._2665545669;3194800.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 46,3 м², 17/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_463m_1724et._2548554096;5780000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 46,3 м², 16/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_463m_1624et._2548185893;5780000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 38,9 м², 2/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_389m_24et._2664905597;3648820.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 41,5 м², 5/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_415m_516et._2659513657;4208100.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 43,1 м², 16/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_431m_1624et._2548433080;5570000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 37,3 м², 16/19 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_373m_1619et._2445370863;4100000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;Бруклин Жилой Квартал
['1-komnatnye'];1-к. квартира, 46,5 м², 3/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_324et._2548354120;5730000.0;ул. Бехтерева, стр. 3;р-н Кировский;"""Прогресс"" Девелоперская компания"
['1-komnatnye'];1-к. квартира, 44 м², 10/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_44m_1010et._2345707732;3400000.0;ул. Космонавта Комарова, д. 59Б;р-н Ленинский;None
['1-komnatnye'];1-к. квартира, 35 м², 16/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_35m_1625et._2437181598;4630000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 45,2 м², 2/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_452m_29et._2691986775;5208000.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
